"url_bulletins","data","code_region","name_region","code_province","name_province","abbreviation_province","lat","long","new_cases","total_cases"
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,8,"Emilia-Romagna",39,"Ravenna","RA",44,12,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,3,"Lombardia",18,"Pavia","PV",45,9,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,14,"Molise",70,"Campobasso","CB",41.55774754,14.65916051,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,14,"Molise",94,"Isernia","IS",41.58800826,14.22575407,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,42
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,6
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,9
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,15
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,5
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,11,"Marche",43,"Macerata","MC",43.30023926,13.45307182,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_10.pdf",2025-09-17,11,"Marche",42,"Ancona","AN",43.61675973,13.5188753,1,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,9,"Toscana",53,"Grosseto","GR",42.76026758,11.11356398,3,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,15,"Campania",63,"Napoli","NA",41,14,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",39,"Ravenna","RA",44,12,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,3,"Lombardia",18,"Pavia","PV",45,9,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,14,"Molise",70,"Campobasso","CB",41.55774754,14.65916051,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,14,"Molise",94,"Isernia","IS",41.58800826,14.22575407,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,42
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,4,10
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,9
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,2,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,15
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,5
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,11,"Marche",43,"Macerata","MC",43.30023926,13.45307182,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_11.pdf",2025-09-24,11,"Marche",42,"Ancona","AN",43.61675973,13.5188753,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,9,"Toscana",53,"Grosseto","GR",42.76026758,11.11356398,0,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,15,"Campania",63,"Napoli","NA",41,14,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",39,"Ravenna","RA",44,12,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",34,"Parma","PR",44.80107394,10.32834985,0,3
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,5
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,3,"Lombardia",18,"Pavia","PV",45,9,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,14,"Molise",70,"Campobasso","CB",41.55774754,14.65916051,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,14,"Molise",94,"Isernia","IS",41.58800826,14.22575407,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,1,"Piemonte",1,"Torino","TO",45.0732745,7.680687483,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,20,"Sardegna",95,"Oristano","OR",39.90381075,8.591183151,0,42
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,10
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,9
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,4
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,15
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,5,"Veneto",24,"Vicenza","VI",45.547497,11.54597109,0,2
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,5
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,11,"Marche",43,"Macerata","MC",43.30023926,13.45307182,0,1
"https://github.com/fbranda/west-nile/blob/main/2025/bulletins/WN_News_2025_12.pdf",2025-10-01,11,"Marche",42,"Ancona","AN",43.61675973,13.5188753,0,1
